z_t_math_base,z_t_math_end,blockZZ,treatment,spillover_class,in_person_sch,z_baseline,age2,female,father_jhs,mother_jhs,ses1,class_size,t_female,t_age2,t_exp,t_4yrcoll,t_cert,t_major_math,t_rank_yigao,b_t_math_t_direct,e_t_math_t_direct,b_t_math_t_active,e_t_math_t_active,b_t_math_fixed,e_t_math_fixed,b_t_math_rules,e_t_math_rules,b_t_math_inquiry,e_t_math_inquiry,t_intr_mot_base,t_intr_mot_end,t_prosoc_mot_base,t_prosoc_mot_end,blockZ
1.0870577,-3.6401017,51,1,1,0,-.69456834,13.718161,.44186047,.55813956,.44186047,.4529853380242228,43,1,30.294319,6,0,1,1,0,.58933461,-.53476101,-.85207659,-7.1267853,-.25280625,-.0074163605,.059374493,-.30774894,.56048191,1.1465304,.084375061,-.19101356,1.0188677,-.27198109,5
-.71063739,.29315862,40,0,1,0,-.35393175,12.697099,.48076922,.80769229,.65384614,-1.205991506491566,52,1,31.044491,12,1,1,0,0,-.64361441,1.2158213,.0099915881,-.47081244,-1.2558268,-.2582843,-.78699034,-.33600312,-.082138166,.45169476,.96874642,.91215891,-.60562038,.96332812,4
-.71063739,-.048864014,50,0,0,0,-.82833934,13.813564,.57446808,.61702126,.59574467,-.9665090739166171,47,0,32.632442,9,0,1,0,0,2.1897886,.0397438,-1.6976192,.32815129,-.25594541,.3960028,-1.2729526,-.38899887,-2.5530376,-.43150184,-2.4360619,-2.3973587,-3.0778303,-2.7426,5
-1.3098691,.46416995,42,2,0,0,-.33548272,13.095389,.5,.54545456,.30303031,.5276626784104617,66,0,38.127312,13,0,1,1,0,.0019882726,-.15712322,.062067915,.55342329,-.22824523,-.61711305,-.62746286,-.44296974,-.87906444,-.004593364,-1.0805109,-.19101356,-.54691005,-.50427926,4
-1.1101252,-.048864014,52,2,1,0,-.21288191,14.330504,.5,.53333336,.36666667,.1058229992138193,60,0,46.127312,21,1,1,1,0,.44780955,-.15712322,-2.5564311,-1.0940516,2.6443543,-.17522003,.65937561,-.40694076,-2.3869548,-1.0716659,-1.749438,-1.1018704,-.64285564,-.24036191,5
.48782599,-3.6401017,40,0,1,0,-.042739689,13.455624,.41666666,.70833331,.4375,-.0018567114799558,48,1,26.379192,2,1,1,0,0,-.41776845,,.13154787,,.25896153,,-2.7675564,,-.082138166,,-.25893682,,-.97844863,,4
-.1114057,.1221473,50,0,0,0,-.25148144,14.639973,.60000002,.56666666,.26666668,.4796237057483539,60,1,24.295689,0,1,0,0,0,-.080638289,-1.9357532,.12863536,.32815129,-.13084413,-.23125622,.65937561,-.12503503,-.082138166,-.62008321,.084375061,-2.3973587,.069282599,-2.7426,5
.088338196,-.048864014,40,0,0,0,.2056043,13.180282,.52941179,.72549021,.54901963,.5620834238085726,51,1,38.212185,18,0,1,0,0,-.30503154,-.51787591,.055036951,.0085016219,-.62783539,-.2603659,-1.0217826,-.12503503,-.082138166,-.004593364,-1.1846917,.06325911,-.20935728,-.27198109,4
-1.9091008,.29315862,50,0,1,0,-.011878337,14.101808,.51851851,.5925926,.68518519,.2408704581417188,54,1,32.632442,5,1,1,1,0,-.19554542,1.2213726,-1.459895,-1.2107443,.69712633,-.61937582,-.44555601,.1062876,-.082138166,-.072699882,-.25893682,.91215891,.38711751,-.039682936,5
-.51089352,-.21987534,41,1,0,0,-.58096361,13.442986,.42372882,.62711865,.57627118,.8211512356715647,60,1,25.875427,1.5,1,1,0,0,-.45034173,-.90106809,.055036951,.63174075,-.63602692,-.59494078,.10938668,-.82269782,-1.9436411,-.004593364,-.25893682,-.52676743,.56565154,-.51826537,4
-.71063739,-.56189793,51,1,1,0,-.98944175,14.424209,.44230768,.82692307,.65384614,.7874052844656675,52,0,25.045858,1.5,1,1,0,0,.32637277,1.7774847,-2.4214859,-.16625951,.45002106,1.5367587,.65937561,.076366119,-.082138166,-.004593364,.45137396,-.44988692,.6028868,-.75937998,5
